name,rssd_id,city,state,county
HATCH BANK,733661,SAN MARCOS,CA,SAN DIEGO
MECHANICS BANK,936462,WALNUT CREEK,CA,CONTRA COSTA
ASIAN PACIFIC NATIONAL BANK,1462986,SAN GABRIEL,CA,LOS ANGELES
AVIDBANK,3214059,SAN JOSE,CA,SANTA CLARA
"AMERICAN PLUS BANK, NATIONAL ASSOCIATION",3623110,ARCADIA,CA,LOS ANGELES
BANK OF THE ORIENT,777366,SAN FRANCISCO,CA,SAN FRANCISCO
WESTAMERICA BANK,697763,SAN RAFAEL,CA,MARIN
FIRST NORTHERN BANK OF DIXON,783161,DIXON,CA,SOLANO
EXCHANGE BANK,507068,SANTA ROSA,CA,SONOMA
FFB BANK,3398623,FRESNO,CA,FRESNO
FARMERS AND MERCHANTS BANK OF LONG BEACH,871769,LONG BEACH,CA,LOS ANGELES
FREMONT BANK,739560,FREMONT,CA,ALAMEDA
REDWOOD CAPITAL BANK,3247589,EUREKA,CA,HUMBOLDT
BAC COMMUNITY BANK,5461,STOCKTON,CA,SAN JOAQUIN
AMERICAN CONTINENTAL BANK,3216316,CITY OF INDUSTRY,CA,LOS ANGELES
FIRST GENERAL BANK,3386264,ROWLAND HEIGHTS,CA,LOS ANGELES
FIRST FOUNDATION BANK,3637685,IRVINE,CA,ORANGE
"MALAGA BANK, FSB",773470,PALOS VERDES ESTATES,CA,LOS ANGELES
MISSION NATIONAL BANK,519360,SAN FRANCISCO,CA,SAN FRANCISCO
BANK OF MARIN,1436204,CORTE MADERA,CA,MARIN
PCB BANK,3212402,LOS ANGELES,CA,LOS ANGELES
CALIFORNIA BUSINESS BANK,3390337,IRVINE,CA,ORANGE
PACIFIC COAST BANKERS' BANK,2451240,WALNUT CREEK,CA,CONTRA COSTA
FIRST CREDIT BANK,5069,WEST HOLLYWOOD,CA,LOS ANGELES
"C3BANK, NATIONAL ASSOCIATION",754068,ENCINITAS,CA,SAN DIEGO
US METRO BANK,3470154,GARDEN GROVE,CA,ORANGE
FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,808260,LODI,CA,SAN JOAQUIN
FIRST PACIFIC BANK,3470930,WHITTIER,CA,LOS ANGELES
COMMUNITY COMMERCE BANK,299868,CLAREMONT,CA,LOS ANGELES
TRI COUNTIES BANK,100562,CHICO,CA,BUTTE
"BEACON BUSINESS BANK, NATIONAL ASSOCIATION",403067,SAN FRANCISCO,CA,SAN FRANCISCO
STATE BANK OF INDIA (CALIFORNIA),779968,LOS ANGELES,CA,LOS ANGELES
PARTNERS BANK OF CALIFORNIA,3655933,MISSION VIEJO,CA,ORANGE
RIVER VALLEY COMMUNITY BANK,3451050,YUBA CITY,CA,SUTTER
BANK OF THE SIERRA,662369,PORTERVILLE,CA,TULARE
FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL,229070,SAN RAFAEL,CA,MARIN
"PROVIDENT SAVINGS BANK, F.S.B.",631570,RIVERSIDE,CA,RIVERSIDE
ICON BUSINESS BANK,5805228,RIVERSIDE,CA,RIVERSIDE
UNITED PACIFIC BANK,609467,CITY OF INDUSTRY,CA,LOS ANGELES
EASTERN INTERNATIONAL BANK,206772,LOS ANGELES,CA,LOS ANGELES
COMMONWEALTH BUSINESS BANK,3337097,LOS ANGELES,CA,LOS ANGELES
"NEW OMNI BANK, NATIONAL ASSOCIATION",300063,ALHAMBRA,CA,LOS ANGELES
"CHINO COMMERCIAL BANK, NATIONAL ASSOCIATION",2925620,CHINO,CA,SAN BERNARDINO
MEGA BANK,3690635,SAN GABRIEL,CA,LOS ANGELES
CORNERSTONE COMMUNITY BANK,3485420,RED BLUFF,CA,TEHAMA
UNITED BUSINESS BANK,3281510,WALNUT CREEK,CA,CONTRA COSTA
COMMUNITY VALLEY BANK,3637706,EL CENTRO,CA,IMPERIAL
PLUMAS BANK,670467,QUINCY,CA,PLUMAS
AMERICAN RIVIERA BANK,3388482,SANTA BARBARA,CA,SANTA BARBARA
SAVINGS BANK OF MENDOCINO COUNTY,146663,UKIAH,CA,MENDOCINO
"BANK OF WHITTIER, NATIONAL ASSOCIATION",209362,WHITTIER,CA,LOS ANGELES
EVERTRUST BANK,2297998,CITY OF INDUSTRY,CA,LOS ANGELES
"BESSEMER TRUST COMPANY OF CALIFORNIA, NATIONAL ASSOCIATION",2845782,SAN FRANCISCO,CA,SAN FRANCISCO
LIBERTY BANK N.A.,2907439,IRVINE,CA,ORANGE
EH NATIONAL BANK,3320576,BEVERLY HILLS,CA,LOS ANGELES
"CALIFORNIA INTERNATIONAL BANK, N.A.",3394380,WESTMINSTER,CA,ORANGE
COMMUNITY BANK OF SANTA MARIA,2997216,SANTA MARIA,CA,SANTA BARBARA
BANK IRVINE,5788705,IRVINE,CA,ORANGE
"FIRST AMERICAN TRUST, FSB",1883321,SANTA ANA,CA,ORANGE
MISSION BANK,2736714,BAKERSFIELD,CA,KERN
METROPOLITAN BANK,534466,OAKLAND,CA,ALAMEDA
COLUMN NATIONAL ASSOCIATION,3435948,CHICO,CA,BUTTE
MONTECITO BANK & TRUST,514066,SANTA BARBARA,CA,SANTA BARBARA
HOME BANK OF CALIFORNIA,118660,SAN DIEGO,CA,SAN DIEGO
LEGACY BANK,5755510,MURRIETA,CA,RIVERSIDE
CALIFORNIA BANK OF COMMERCE,3614958,WALNUT CREEK,CA,CONTRA COSTA
SILVERGATE BANK,1216826,LA JOLLA,CA,SAN DIEGO
"COMMUNITY WEST BANK, NATIONAL ASSOCIATION",1412712,GOLETA,CA,SANTA BARBARA
FARMERS BANK,3020447,AULT,CO,WELD
MCCLAVE STATE BANK,399357,MC CLAVE,CO,BENT
5STAR BANK,455253,COLORADO SPRINGS,CO,EL PASO
EVERGREEN NATIONAL BANK,427858,EVERGREEN,CO,JEFFERSON
FMS BANK,257756,FORT MORGAN,CO,MORGAN
"COLORADO BANK AND TRUST COMPANY OF LA JUNTA, THE",285151,LA JUNTA,CO,OTERO
INTEGRITY BANK & TRUST,3160978,MONUMENT,CO,EL PASO
FIRST WESTERN TRUST BANK,3158546,DENVER,CO,DENVER
FIRST SOUTHWEST BANK,3224302,ALAMOSA,CO,ALAMOSA
"FARMERS STATE BANK OF BRUSH, THE",621151,BRUSH,CO,MORGAN
FLATIRONS BANK,3022610,BOULDER,CO,BOULDER
YOUNG AMERICANS BANK,67254,DENVER,CO,DENVER
YAMPA VALLEY BANK,2806635,STEAMBOAT SPRINGS,CO,ROUTT
"DEL NORTE BANK, A SAVINGS AND LOAN ASSOCIATION",705378,DEL NORTE,CO,RIO GRANDE
FIRST PIONEER NATIONAL BANK,357553,WRAY,CO,YUMA
HIGH PLAINS BANK,247551,FLAGLER,CO,KIT CARSON
VERUS BANK OF COMMERCE,3322468,FORT COLLINS,CO,LARIMER
WRAY STATE BANK,541754,WRAY,CO,YUMA
EQUITABLE SAVINGS AND LOAN ASSOCIATION,206473,STERLING,CO,LOGAN
FIRST FARMBANK,3411773,GREELEY,CO,WELD
CHAMPION BANK,2901558,PARKER,CO,DOUGLAS
BANKERS' BANK OF THE WEST,732758,DENVER,CO,DENVER
TIMBERLINE BANK,3271986,GRAND JUNCTION,CO,MESA
HOME LOAN STATE BANK,499154,GRAND JUNCTION,CO,MESA
FORTIS BANK,2515320,DENVER,CO,DENVER
REDSTONE BANK,3591004,CENTENNIAL,CO,ARAPAHOE
COLORADO FEDERAL SAVINGS BANK,1718469,GREENWOOD VILLAGE,CO,ARAPAHOE
"NATIVE AMERICAN BANK, NATIONAL ASSOCIATION",664653,DENVER,CO,DENVER
FARMERS STATE BANK OF CALHAN,956956,CALHAN,CO,EL PASO
FIRST AMERICAN STATE BANK,2317672,GREENWOOD VILLAGE,CO,ARAPAHOE
SAN LUIS VALLEY FEDERAL BANK,945071,ALAMOSA,CO,ALAMOSA
ALPINE BANK,260055,GLENWOOD SPRINGS,CO,GARFIELD
"DOLORES STATE BANK, THE",63050,DOLORES,CO,MONTEZUMA
FIRSTBANK,288853,LAKEWOOD,CO,JEFFERSON
"TRANSACT BANK, NATIONAL ASSOCIATION",403254,DENVER,CO,DENVER
ANB BANK,828651,DENVER,CO,DENVER
"CITIZENS STATE BANK OF OURAY, THE",98351,OURAY,CO,OURAY
NBH BANK,4210227,GREENWOOD VILLAGE,CO,ARAPAHOE
COMMUNITY STATE BANK,3617856,LAMAR,CO,PROWERS
HTLF BANK,3465226,DENVER,CO,DENVER
STOCKMENS BANK,982553,COLORADO SPRINGS,CO,EL PASO
FIRST NATIONAL BANK OF HUGO,276551,HUGO,CO,LINCOLN
BANK OF COLORADO,255659,FORT COLLINS,CO,LARIMER
"PUEBLO BANK AND TRUST COMPANY, THE",106452,PUEBLO,CO,PUEBLO
ROCKY MOUNTAIN BANK AND TRUST,249658,FLORENCE,CO,FREMONT
"EASTERN COLORADO BANK, THE",775054,CHEYENNE WELLS,CO,CHEYENNE
